offers_A,demands_A,offers_B,demands_B,compatibility_percent
"[27, 12, 52, 81, 6, 26, 54, 18, 49, 96, 62, 60]","[10, 88, 72, 93, 81, 19, 2, 10, 33, 33, 48, 47]","[67, 62, 99, 64, 19, 46, 91, 29, 59, 62, 49, 76]","[5, 55, 67, 77, 74, 35, 8, 71, 80, 21, 98, 9]",63.21548821548822
"[23, 86, 36, 18, 35, 53, 96]","[36, 37, 26, 39, 44, 59, 98]","[81, 51, 66, 85, 16, 82, 82]","[64, 39, 33, 92, 77, 81, 4]",60.714285714285715
"[11, 3, 53, 18, 6, 67, 40, 67, 39, 8, 78, 15, 88, 47, 46, 95, 29]","[99, 1, 40, 59, 44, 70, 34, 88, 82, 20, 30, 73, 49, 96, 29, 95, 46]","[58, 67, 46, 74, 30, 53, 44, 18, 45, 1, 98, 86, 58, 85, 21, 10, 8]","[16, 6, 91, 75, 43, 95, 19, 9, 53, 45, 19, 61, 63, 62, 38, 10, 81]",66.87462863933452
"[58, 9, 45, 17, 78, 90, 79, 38, 17, 12, 3, 95, 57, 72, 26, 98, 20, 83, 15, 90]","[43, 1, 53, 31, 50, 3, 32, 57, 51, 1, 70, 39, 43, 94, 70, 21, 3, 2, 6, 21]","[70, 74, 45, 83, 68, 38, 45, 78, 16, 44, 76, 4, 72, 25, 89, 11, 26, 71, 37, 79]","[60, 100, 23, 25, 68, 77, 39, 38, 37, 65, 85, 51, 86, 66, 44, 100, 54, 12, 47, 71]",68.25
"[39, 7, 96, 53, 49, 97, 82, 79, 20, 2, 13, 34, 56, 90, 37, 52, 39, 96, 87, 78]","[64, 68, 55, 41, 64, 20, 27, 40, 37, 64, 62, 83, 44, 26, 76, 64, 51, 63, 81, 74]","[67, 88, 67, 71, 23, 75, 82, 53, 34, 60, 94, 100, 39, 46, 9, 55, 4, 25, 55, 27]","[80, 73, 95, 70, 46, 78, 60, 66, 76, 75, 37, 95, 68, 32, 15, 10, 37, 24, 33, 33]",68.825
"[1, 96, 33, 28]","[8, 12, 12, 36]","[28, 43, 67, 39]","[61, 28, 29, 29]",68.48958333333333
"[16, 96, 98, 8]","[71, 24, 97, 44]","[75, 4, 28, 25]","[46, 93, 7, 46]",65.05102040816327
"[83, 98, 16, 6, 88, 22, 90, 17, 61]","[19, 40, 90, 39, 87, 14, 30, 15, 3]","[34, 41, 14, 90, 51, 24, 93, 46, 59]","[25, 83, 17, 2, 62, 26, 68, 1, 19]",70.12471655328798
"[13, 90, 13, 79, 39, 34, 50, 77]","[10, 54, 50, 83, 43, 31, 33, 37]","[32, 62, 77, 35, 94, 41, 18, 88]","[60, 63, 70, 19, 9, 42, 77, 100]",68.0625
"[80, 70, 70, 21, 52, 17, 63, 49, 21, 59, 34, 33, 59, 49, 92, 61]","[34, 76, 60, 86, 40, 75, 77, 87, 24, 24, 72, 37, 24, 99, 46, 9]","[26, 48, 66, 42, 78, 55, 75, 73, 42, 38, 54, 75, 55, 22, 52, 27]","[52, 68, 22, 87, 45, 63, 4, 59, 82, 58, 45, 29, 52, 84, 39, 31]",73.23232323232324
