offers_A,demands_A,offers_B,demands_B,compatibility_percent
"[14, 81, 92, 96, 2]","[55, 32, 14, 8, 11]","[15, 33, 53, 63, 17]","[73, 51, 43, 27, 60]",57.708333333333336
"[49, 56, 8, 25, 84]","[86, 76, 4, 95, 99]","[89, 94, 60, 75, 52]","[15, 41, 52, 1, 33]",68.48484848484848
"[10, 39, 29, 58, 64]","[11, 7, 96, 2, 79]","[90, 9, 60, 48, 61]","[5, 9, 11, 19, 58]",70.93749999999999
"[58, 3, 60, 51, 98]","[57, 94, 94, 88, 4]","[33, 54, 19, 23, 18]","[73, 47, 26, 59, 46]",62.142857142857146
"[47, 86, 69, 6, 47]","[25, 1, 89, 85, 69]","[80, 16, 23, 19, 56]","[86, 44, 65, 53, 86]",56.62921348314607
"[50, 76, 3, 82, 42]","[73, 55, 38, 64, 65]","[54, 66, 76, 79, 10]","[77, 8, 59, 17, 45]",56.46341463414634
"[63, 94, 8, 24, 4]","[74, 86, 52, 34, 38]","[85, 66, 69, 93, 97]","[22, 50, 31, 30, 11]",70.41237113402062
"[99, 38, 75, 30, 28]","[95, 57, 78, 52, 36]","[84, 84, 31, 56, 88]","[14, 70, 2, 40, 32]",65.15151515151516
"[71, 35, 55, 72, 47]","[25, 69, 10, 22, 51]","[63, 78, 25, 9, 98]","[1, 54, 99, 59, 48]",72.82828282828282
"[83, 63, 4, 55, 44]","[26, 80, 13, 82, 6]","[97, 10, 66, 52, 12]","[26, 11, 63, 97, 50]",54.02061855670103
"[47, 79, 95, 40, 3]","[7, 59, 22, 40, 50]","[65, 78, 42, 38, 49]","[37, 87, 66, 99, 17]",77.77777777777777
"[62, 91, 42, 22, 4]","[26, 80, 26, 56, 76]","[64, 7, 33, 15, 16]","[78, 54, 50, 66, 54]",58.9010989010989
"[67, 96, 54, 69, 5]","[66, 20, 32, 30, 92]","[58, 39, 76, 46, 48]","[73, 15, 23, 70, 29]",71.45833333333333
"[21, 39, 57, 85, 60]","[84, 36, 50, 81, 93]","[74, 28, 64, 71, 39]","[71, 68, 67, 66, 29]",74.73118279569893
"[80, 85, 79, 12, 50]","[60, 38, 10, 47, 91]","[1, 43, 78, 37, 45]","[45, 67, 85, 1, 9]",67.14285714285714
"[68, 23, 24, 4, 71]","[97, 25, 62, 55, 17]","[26, 81, 12, 94, 95]","[14, 55, 89, 82, 35]",42.371134020618555
"[46, 11, 83, 95, 31]","[19, 54, 67, 34, 28]","[12, 97, 31, 64, 29]","[35, 9, 71, 29, 54]",76.18556701030928
"[34, 89, 22, 64, 51]","[47, 32, 92, 58, 3]","[2, 89, 15, 67, 11]","[19, 43, 89, 14, 28]",56.84782608695652
"[67, 4, 89, 53, 52]","[89, 31, 81, 22, 79]","[55, 94, 89, 71, 46]","[70, 48, 27, 56, 66]",66.70212765957447
"[43, 13, 8, 90, 56]","[72, 72, 57, 5, 72]","[50, 68, 65, 70, 57]","[70, 28, 99, 64, 91]",68.88888888888889
"[3, 76, 27, 59, 100]","[93, 37, 2, 39, 33]","[4, 58, 84, 43, 82]","[83, 21, 81, 29, 92]",52.8
"[63, 79, 67, 57, 90]","[28, 45, 68, 49, 82]","[77, 60, 17, 51, 17]","[51, 60, 9, 93, 91]",66.88172043010752
"[63, 91, 90, 50, 46]","[38, 7, 1, 55, 83]","[87, 17, 96, 8, 60]","[33, 66, 63, 22, 39]",64.47916666666667
"[99, 39, 16, 59, 81]","[50, 50, 6, 52, 42]","[25, 14, 68, 46, 21]","[94, 71, 41, 93, 70]",74.04040404040404
"[53, 66, 23, 18, 50]","[66, 30, 86, 8, 55]","[39, 91, 92, 98, 48]","[42, 79, 22, 60, 64]",72.24489795918367
"[94, 34, 63, 79, 96]","[60, 86, 91, 16, 65]","[2, 9, 51, 91, 97]","[8, 62, 55, 98, 66]",53.775510204081634
"[81, 61, 31, 79, 66]","[40, 60, 17, 77, 89]","[8, 7, 81, 93, 74]","[52, 97, 17, 64, 8]",65.77319587628865
"[89, 76, 74, 47, 22]","[41, 14, 96, 17, 56]","[69, 78, 97, 21, 88]","[26, 44, 83, 54, 72]",70.10309278350516
"[60, 87, 17, 60, 42]","[86, 92, 59, 5, 65]","[7, 87, 93, 88, 19]","[51, 6, 72, 32, 36]",54.193548387096776
"[3, 99, 41, 54, 36]","[66, 22, 85, 68, 45]","[56, 79, 88, 87, 40]","[92, 21, 80, 60, 20]",67.47474747474747
"[62, 14, 69, 17, 75]","[10, 52, 98, 63, 24]","[71, 41, 7, 48, 79]","[34, 12, 45, 41, 70]",67.75510204081634
"[95, 74, 55, 40, 77]","[7, 25, 6, 96, 13]","[95, 3, 89, 42, 47]","[28, 97, 35, 99, 22]",48.98989898989899
"[100, 44, 11, 87, 97]","[76, 81, 5, 78, 13]","[12, 80, 79, 9, 38]","[7, 56, 45, 37, 43]",52.4
"[44, 91, 47, 99, 73]","[36, 67, 90, 74, 18]","[46, 97, 9, 42, 22]","[74, 54, 59, 91, 37]",71.71717171717172
"[63, 39, 44, 24, 74]","[24, 31, 74, 83, 94]","[1, 89, 54, 52, 52]","[76, 79, 87, 80, 82]",64.46808510638297
"[10, 61, 52, 64, 51]","[54, 60, 76, 95, 2]","[91, 59, 75, 20, 17]","[86, 94, 45, 55, 17]",69.6842105263158
"[12, 13, 86, 44, 64]","[30, 66, 88, 89, 52]","[70, 67, 15, 42, 75]","[82, 41, 24, 2, 38]",53.70786516853933
"[1, 30, 14, 58, 73]","[69, 37, 72, 26, 15]","[42, 42, 22, 62, 84]","[25, 18, 36, 26, 32]",62.142857142857146
"[12, 48, 93, 55, 49]","[91, 89, 58, 21, 82]","[22, 9, 40, 78, 83]","[22, 47, 48, 50, 86]",65.26881720430107
"[82, 88, 4, 45, 5]","[10, 74, 28, 2, 93]","[84, 65, 92, 42, 58]","[12, 49, 97, 56, 67]",48.76288659793814
"[69, 64, 35, 73, 57]","[70, 19, 17, 15, 51]","[89, 44, 23, 39, 18]","[91, 7, 31, 4, 38]",69.45054945054945
"[51, 24, 10, 36, 58]","[45, 93, 21, 35, 77]","[26, 63, 29, 93, 24]","[48, 71, 94, 21, 39]",64.25531914893617
"[63, 80, 27, 28, 37]","[57, 85, 89, 84, 89]","[35, 9, 76, 91, 86]","[95, 8, 14, 100, 75]",65.2
"[51, 33, 34, 66, 17]","[66, 8, 46, 95, 54]","[3, 2, 85, 27, 34]","[30, 13, 6, 11, 62]",61.578947368421055
"[59, 72, 1, 37, 43]","[21, 46, 38, 66, 17]","[85, 25, 2, 31, 90]","[22, 68, 61, 7, 19]",57.333333333333336
"[89, 41, 39, 27, 40]","[54, 84, 58, 22, 72]","[25, 8, 91, 53, 65]","[55, 80, 53, 29, 6]",67.14285714285714
"[15, 18, 95, 26, 5]","[74, 72, 72, 33, 13]","[41, 72, 18, 26, 86]","[54, 70, 62, 73, 92]",55.26315789473684
"[21, 99, 23, 36, 100]","[73, 19, 86, 83, 13]","[93, 26, 3, 100, 89]","[26, 85, 60, 45, 60]",69.2
"[43, 96, 74, 77, 92]","[95, 25, 44, 76, 76]","[86, 93, 90, 64, 88]","[64, 1, 31, 97, 97]",65.87628865979381
"[52, 26, 33, 40, 81]","[52, 71, 95, 98, 72]","[53, 86, 60, 82, 15]","[37, 19, 16, 31, 38]",78.06122448979592
"[35, 58, 37, 65, 31]","[26, 72, 61, 29, 48]","[82, 15, 11, 92, 98]","[99, 31, 66, 44, 70]",53.93939393939394
"[5, 16, 85, 75, 93]","[91, 16, 12, 84, 26]","[65, 80, 15, 50, 80]","[90, 3, 100, 68, 43]",64.9
"[18, 91, 77, 28, 9]","[16, 98, 73, 2, 25]","[72, 34, 61, 44, 1]","[3, 23, 34, 42, 3]",64.89795918367346
"[33, 94, 59, 60, 58]","[7, 3, 4, 26, 56]","[73, 4, 64, 92, 28]","[51, 45, 19, 17, 70]",59.255319148936174
"[25, 12, 89, 37, 74]","[94, 24, 10, 94, 48]","[93, 74, 69, 44, 55]","[82, 26, 91, 64, 41]",68.08510638297872
"[19, 73, 36, 56, 31]","[41, 50, 63, 29, 76]","[42, 82, 43, 98, 89]","[23, 27, 69, 19, 89]",68.06122448979592
"[11, 28, 76, 51, 32]","[98, 68, 100, 20, 4]","[42, 43, 85, 99, 21]","[58, 47, 25, 73, 93]",60.8
"[76, 77, 98, 95, 52]","[80, 95, 39, 18, 86]","[79, 11, 93, 97, 52]","[54, 6, 82, 89, 89]",58.775510204081634
"[61, 52, 87, 36, 94]","[54, 82, 77, 93, 4]","[90, 58, 71, 53, 4]","[75, 31, 25, 64, 90]",75.0
"[2, 16, 69, 20, 82]","[21, 77, 76, 100, 54]","[54, 41, 84, 26, 15]","[84, 49, 11, 55, 18]",53.8
"[96, 40, 31, 32, 90]","[37, 27, 49, 35, 98]","[80, 50, 42, 50, 26]","[71, 75, 60, 42, 13]",65.71428571428572
"[60, 62, 65, 93, 92]","[82, 4, 95, 89, 66]","[6, 17, 90, 95, 82]","[73, 86, 37, 51, 83]",75.57894736842105
"[56, 4, 72, 70, 58]","[95, 57, 30, 83, 42]","[57, 53, 66, 2, 49]","[99, 30, 82, 44, 50]",71.81818181818181
"[92, 25, 87, 44, 58]","[30, 50, 9, 53, 93]","[39, 27, 49, 29, 34]","[71, 4, 87, 27, 45]",75.59139784946237
"[91, 35, 24, 92, 75]","[41, 10, 100, 69, 35]","[67, 49, 64, 49, 71]","[14, 39, 13, 26, 24]",63.4
"[13, 61, 79, 5, 35]","[2, 40, 64, 23, 86]","[39, 13, 55, 10, 46]","[23, 22, 73, 81, 34]",70.0
"[28, 87, 25, 46, 63]","[59, 98, 72, 12, 17]","[20, 2, 95, 35, 89]","[9, 48, 12, 89, 23]",58.46938775510204
